Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
19-August-2025,1481.75,1500.00,1465.00,1496.60,1480.822424787762607096,25561,1758,37851302.00,14327,56.05,35.00,14.85
18-August-2025,1496.00,1496.00,1469.35,1471.55,1482.614921071592323311,15267,1211,22635082.00,7284,47.71,26.65,-24.45
14-August-2025,1505.05,1529.50,1484.40,1486.30,1506.286226494259449975,26217,2324,39490306.00,10618,40.50,45.10,-18.75
13-August-2025,1510.65,1516.10,1500.00,1509.35,1509.186581887794967963,102384,3034,154516559.00,81439,79.54,16.10,-1.30
12-August-2025,1481.70,1516.90,1481.65,1509.40,1506.806604269639289094,57054,3903,85969344.00,24329,42.64,35.25,27.70
11-August-2025,1476.10,1521.85,1470.00,1481.70,1480.813407134071340713,130080,3784,192624208.00,116082,89.24,51.85,5.60
8-August-2025,1475.00,1495.90,1475.00,1479.80,1488.392409575780842953,72934,3248,108554412.00,55384,75.94,20.90,4.80
7-August-2025,1447.35,1493.00,1447.35,1483.90,1466.978441250555637872,26996,2027,39602550.00,13815,51.17,45.65,36.55
6-August-2025,1484.95,1484.95,1454.40,1459.40,1465.849707357859531772,14352,1261,21037875.00,8058,56.15,30.55,-25.55
5-August-2025,1470.10,1488.10,1461.40,1485.25,1478.061743287316266809,22383,2167,33083456.00,9108,40.69,26.70,15.15
4-August-2025,1435.00,1477.35,1420.90,1475.45,1452.304651647893199833,28764,2582,41774091.00,16285,56.62,56.45,40.45
1-August-2025,1459.95,1459.95,1432.45,1439.00,1441.800585069560751211,44781,3202,64565272.00,17910,39.99,27.50,-20.95
31-July-2025,1443.20,1472.60,1443.20,1464.05,1459.985875706214689265,20532,1466,29976430.00,10883,53.00,29.40,20.85
30-July-2025,1459.95,1466.30,1449.00,1462.60,1457.533958022882832823,39593,1848,57708142.00,25905,65.43,17.30,2.65
29-July-2025,1450.00,1459.45,1436.60,1453.85,1449.434318965086659008,80084,5183,116076498.00,14028,17.52,22.85,3.85
28-July-2025,1464.70,1466.05,1444.85,1451.10,1453.038804778109590943,57596,5034,83689223.00,7219,12.53,21.20,-13.60
25-July-2025,1497.70,1500.85,1455.00,1461.80,1473.959136624304775078,34701,2833,51147856.00,11351,32.71,45.85,-35.90
24-July-2025,1547.25,1548.20,1495.10,1498.30,1510.026812603218807681,61762,5396,93262276.00,27958,45.27,53.10,-48.95
23-July-2025,1547.50,1552.15,1534.70,1547.10,1544.422152560083594566,20097,1423,31038252.00,6595,32.82,17.45,-0.40
22-July-2025,1543.80,1551.90,1541.85,1546.85,1546.676116431212667109,10547,993,16312793.00,4326,41.02,10.05,3.05
21-July-2025,1558.80,1558.80,1531.25,1543.50,1542.522137250955926745,19876,1154,30659170.00,5271,26.52,27.55,-15.30
18-July-2025,1576.95,1576.95,1538.05,1548.50,1548.798575061474117820,47581,3005,73693385.00,17723,37.25,38.90,-28.45
17-July-2025,1607.90,1607.90,1561.00,1563.50,1578.206578256602223185,219055,11488,345714042.00,97065,44.31,46.90,-44.40
16-July-2025,1570.75,1610.00,1570.75,1607.95,1594.185610449805119561,28479,1832,45400812.00,10016,35.17,39.25,37.20
15-July-2025,1550.15,1593.45,1550.15,1578.40,1576.571257791819656732,23422,1736,36926452.00,7997,34.14,43.30,28.25
14-July-2025,1599.80,1599.80,1564.20,1578.15,1579.083524049557248664,207114,3181,327050305.00,188318,90.92,35.60,-21.65
11-July-2025,1590.00,1606.00,1578.50,1603.00,1590.531215431415929203,28928,2398,46010887.00,14947,51.67,27.50,13.00
10-July-2025,1614.00,1616.95,1590.00,1600.15,1605.754646633277685030,89850,3003,144277055.00,67677,75.32,26.95,-13.85
